01012012,2012-01-01T00:00:00
01012013,2013-01-01T00:00:00
01012014,2014-01-01T00:00:00
01012015,2015-01-01T00:00:00
01012016,2016-01-01T00:00:00
01012017,2017-01-01T00:00:00
01012018,2018-01-01T00:00:00
01012019,2019-01-01T00:00:00
01012020,2020-01-01T00:00:00
01012021,2021-01-01T00:00:00
02012012,2012-02-01T00:00:00
02012013,2013-02-01T00:00:00
02012014,2014-02-01T00:00:00
02012015,2015-02-01T00:00:00
02012016,2016-02-01T00:00:00
02012017,2017-02-01T00:00:00
02012018,2018-02-01T00:00:00
02012020,2020-02-01T00:00:00
02012021,2021-02-01T00:00:00
03012012,2012-03-01T00:00:00
03012014,2014-03-01T00:00:00
03012015,2015-03-01T00:00:00
03012016,2016-03-01T00:00:00
03012017,2017-03-01T00:00:00
03012018,2018-03-01T00:00:00
03012020,2020-03-01T00:00:00
04012012,2012-04-01T00:00:00
04012013,2013-04-01T00:00:00
04012014,2014-04-01T00:00:00
04012015,2015-04-01T00:00:00
04012016,2016-04-01T00:00:00
04012017,2017-04-01T00:00:00
04012018,2018-04-01T00:00:00
04012020,2020-04-01T00:00:00
04012021,2021-04-01T00:00:00
05012012,2012-05-01T00:00:00
05012013,2013-05-01T00:00:00
05012014,2014-05-01T00:00:00
05012015,2015-05-01T00:00:00
05012016,2016-05-01T00:00:00
05012017,2017-05-01T00:00:00
05012018,2018-05-01T00:00:00
05012020,2020-05-01T00:00:00
05012021,2021-05-01T00:00:00
06012012,2012-06-01T00:00:00
06012013,2013-06-01T00:00:00
06012014,2014-06-01T00:00:00
06012015,2015-06-01T00:00:00
06012016,2016-06-01T00:00:00
06012017,2017-06-01T00:00:00
06012018,2018-06-01T00:00:00
06012020,2020-06-01T00:00:00
06012021,2021-06-01T00:00:00
07012011,2011-07-01T00:00:00
07012012,2012-07-01T00:00:00
07012013,2013-07-01T00:00:00
07012014,2014-07-01T00:00:00
07012015,2015-07-01T00:00:00
07012017,2017-07-01T00:00:00
07012018,2018-07-01T00:00:00
07012019,2019-07-01T00:00:00
07012020,2020-07-01T00:00:00
07012021,2021-07-01T00:00:00
08012011,2011-08-01T00:00:00
08012012,2012-08-01T00:00:00
08012013,2013-08-01T00:00:00
08012014,2014-08-01T00:00:00
08012015,2015-08-01T00:00:00
08012016,2016-08-01T00:00:00
08012017,2017-08-01T00:00:00
08012018,2018-08-01T00:00:00
08012019,2019-08-01T00:00:00
08012020,2020-08-01T00:00:00
08012021,2021-08-01T00:00:00
09012011,2011-09-01T00:00:00
09012012,2012-09-01T00:00:00
09012013,2013-09-01T00:00:00
09012014,2014-09-01T00:00:00
09012015,2015-09-01T00:00:00
09012016,2016-09-01T00:00:00
09012017,2017-09-01T00:00:00
09012018,2018-09-01T00:00:00
09012019,2019-09-01T00:00:00
09012021,2021-09-01T00:00:00
10012011,2011-10-01T00:00:00
10012012,2012-10-01T00:00:00
10012013,2013-10-01T00:00:00
10012014,2014-10-01T00:00:00
10012015,2015-10-01T00:00:00
10012017,2017-10-01T00:00:00
10012018,2018-10-01T00:00:00
10012020,2020-10-01T00:00:00
10012021,2021-10-01T00:00:00
11012011,2011-11-01T00:00:00
11012012,2012-11-01T00:00:00
11012013,2013-11-01T00:00:00
11012014,2014-11-01T00:00:00
11012015,2015-11-01T00:00:00
11012017,2017-11-01T00:00:00
11012018,2018-11-01T00:00:00
11012019,2019-11-01T00:00:00
11012020,2020-11-01T00:00:00
12012011,2011-12-01T00:00:00
12012012,2012-12-01T00:00:00
12012013,2013-12-01T00:00:00
12012014,2014-12-01T00:00:00
12012015,2015-12-01T00:00:00
12012016,2016-12-01T00:00:00
12012017,2017-12-01T00:00:00
12012018,2018-12-01T00:00:00
12012019,2019-12-01T00:00:00
12012020,2020-12-01T00:00:00
