Record ID,Date,INA,Wholesale Trade,Transportation & Warehouse,Construction,Finance & Insurance,Manufacturing,Agricult./Forestry/Fishing/Hunting,Public Administration,Utilities,Accomodation & Food Services,Information,Professional/Scientific/Tech. Services,Real Estate & Rental & Leasing,Other Services (except Public Administration),Management of Companies & Enterprises,Educational Services,Mining,Health Care & Social Assistance,Arts, Entertainment & Recreation,Admin. & Support/Waste Mgmt./Remedia. Serv.,Retail Trade
01012012,2012-01-01T00:00:00,2405,2043,3271,12854,1268,7017,625,686,49,7368,1053,1946,1114,1974,280,1265,479,5122,2313,8647,6202
01012013,2013-01-01T00:00:00,2025,2000,3353,11774,1420,8832,540,735,70,6619,979,1722,1046,1789,257,1186,491,5366,1990,7717,5831
01012014,2014-01-01T00:00:00,2015,1808,2850,11951,1580,6104,582,682,76,5956,925,1885,897,1532,248,980,539,4877,1825,7849,5009
01012015,2015-01-01T00:00:00,1665,1471,2061,10354,989,6637,555,499,43,4807,650,1508,662,979,266,707,342,3389,1819,6276,3788
01012016,2016-01-01T00:00:00,1476,1188,1541,8023,708,6148,557,423,65,4116,529,1465,596,812,211,567,223,2572,2140,5375,2992
01012017,2017-01-01T00:00:00,1777,1239,1440,7046,766,3851,482,411,43,3695,560,1460,597,776,167,584,162,2638,1724,4972,3042
01012018,2018-01-01T00:00:00,1518,1201,1308,8486,783,3454,418,383,31,3552,821,1330,529,684,166,472,205,2590,1571,4639,2843
01012019,2019-01-01T00:00:00,2647,1020,996,5328,804,2304,370,320,23,3372,498,1224,453,609,168,493,154,2260,1517,3729,2605
01012020,2020-01-01T00:00:00,1118,887,1174,5430,689,5048,289,268,33,2777,374,1074,489,538,149,305,125,1934,1449,3284,2240
01012021,2021-01-01T00:00:00,1814,1901,2064,7463,1070,4286,384,503,56,8874,799,2210,917,1543,310,891,138,6268,1984,7000,5442
02012012,2012-02-01T00:00:00,2100,2017,2783,13213,1274,6134,549,691,45,6192,1004,1820,1123,1850,294,1099,474,4971,1978,8222,6132
02012013,2013-02-01T00:00:00,1848,1896,2521,10449,1273,6530,553,683,56,5445,857,1685,1038,1567,236,929,387,4650,1747,7577,5276
02012014,2014-02-01T00:00:00,1800,1844,2772,13830,1696,5734,566,633,72,5338,937,1950,970,1433,239,852,593,4828,1682,7700,5059
02012015,2015-02-01T00:00:00,1496,1508,1689,9046,1000,6360,533,499,64,4337,684,1440,687,1022,275,661,223,3380,1850,6220,3844
02012016,2016-02-01T00:00:00,1434,1313,1385,9124,806,4312,494,436,38,3947,525,1539,649,846,199,526,270,2916,1990,5842,3384
